CA' D'ANDREA;B320
CHIUPPANO;C650
CHIURO;C651
CHIUSA;C652
CHIUSA DI PESIO;C653
CHIUSA DI SAN MICHELE;C655
CHIUSA SCLAFANI;C654
CHIUSAFORTE;C656
CHIUSANICO;C657
CHIUSANO D'ASTI;C658
CHIUSANO DI SAN DOME;C659
CHIUSAVECCHIA;C660
CHIUSDINO;C661
CHIUSI;C662
CHIUSI DELLA VERNA;C663
CHIVASSO;C665
CIAMPINO;C000
CIANCIANA;C668
CIANO D'ENZA;C669
CIBIANA DI CADORE;C672
CICAGNA;C673
CICALA;C674
CICCIANO;C675
CICERALE;C676
CICILIANO;C677
CICOGNOLO;C678
CICONIO;C679
CIGLIANO;C680
CIGLIE';C681
CIGOGNOLA;C684
CIGOLE;C685
CILAVEGNA;C686
CIMADOLMO;C689
CIMBERGO;C691
CIMEGO;C694
CIMINA';C695
CIMINNA;C696
CIMITILE;C697
CIMOLAIS;C699
CIMONE;C700
CINAGLIO;C701
CINETO ROMANO;C702
CINGIA DE'BOTTI;C703
CINGOLI;C704
CINIGIANO;C705
CINISELLO BALSAMO;C707
CINISI;C708
CINO;C709
CINQUEFRONDI;C710
CINTANO;C711
CINTE TESINO;C712
CINTO CAOMAGGIORE;C714
CINTO EUGANEO;C713
CINZANO;C715
CIORLANO;C716
CIPRESSA;C718
CIRCELLO;C719
CIRIE';C722
CIRIGLIANO;C723
CIRIMIDO;C724
CIRO';C725
CIRO' MARINA;C726
CIS;C727
CISANO BERGAMASCO;C728
CISANO SUL NEVA;C729
CISERANO;C730
CISLAGO;C732
CISLIANO;C733
CISMON DEL GRAPPA;C734
CISON DI VALMARINO;C735
CISSONE;C738
CISTERNA D'ASTI;C739
CISTERNA DI LATINA;C740
CISTERNINO;C741
CITERNA;C742
CITTA' DELLA PIEVE;C744
CITTA' DI CASTELLO;C745
CITTA' SANT'ANGELO;C750
CITTADELLA;C743
CITTADUCALE;C746
CITTANOVA;C747
CITTAREALE;C749
CITTIGLIO;C751
CIVATE;C752
CIVENNA;C754
CIVEZZA;C755
CIVEZZANO;C756
CIVIASCO;C757
CIVIDALE DEL FRIULI;C758
CIVIDATE AL PIANO;C759
CIVIDATE CAMUNO;C760
CIVITA;C763
CIVITA CASTELLANA;C765
CIVITA D'ANTINO;C766
CIVITACAMPOMARANO;C764
CIVITALUPARELLA;C768
CIVITANOVA DEL SANNIO;C769
CIVITANOVA MARCHE;C770
CIVITAQUANA;C771
CIVITAVECCHIA;C773
CIVITELLA ALFEDENA;C778
CIVITELLA CASANOVA;C779
CIVITELLA D'AGLIANO;C780
CIVITELLA DEL TRONTO;C781
CIVITELLA DI ROMAGNA;C777
CIVITELLA IN VAL DI CHIANA;C774
CIVITELLA MESSER RAIMONDO;C776
CIVITELLA PAGANICO;C782
CIVITELLA ROVETO;C783
CIVITELLA SAN PAOLO;C784
CIVO;C785
CLAINO CON OSTENO;C787
CLAUT;C790
CLAUZETTO;C791
CLAVESANA;C792
CLAVIERE;C793
CLES;C794
CLETO;C795
CLIVIO;C796
CLOZ;C797
CLUSONE;C800
COASSOLO TORINESE;C801
COAZZE;C803
COAZZOLO;C804
COCCAGLIO;C806
COCCONATO;C807
COCESIO;C948
COCQUIO TREVISAGO;C810
COCULLO;C811
CODEVIGO;C812
CODEVILLA;C813
CODIGORO;C814
CODOGNE';C815
CODOGNO;C816
CODROIPO;C817
CODRONGIANUS;C818
COGGIOLA;C819
COGLIATE;C820
COGNE;C821
COGOLETO;C823
COGOLLO DEL CENGIO;C824
COGORNO;C826
COLAZZA;C829
COLBORDOLO;C830
COLCAVAGNO;C831
COLERE;C835
COLFELICE;C836
COLI;C838
COLICO;C839
COLLAGNA;C840
COLLALTO SABINO;C841
COLLARMELE;C844
COLLAZZONE;C845
COLLE BRIANZA;C851
COLLE D'ANCHISE;C854
COLLE DI TORA;C857
COLLE DI VAL D'ELSA;C847
COLLE SAN MAGNO;C870
COLLE SANNITA;C846
COLLE SANTA LUCIA;C872
COLLE UMBERTO;C848
COLLEBEATO;C850
COLLECCHIO;C852
COLLECORVINO;C853
COLLEDARA;C311
COLLEDIMACINE;C855
COLLEDIMEZZO;C856
COLLEFERRO;C858
COLLEGIOVE;C859
COLLEGNO;C860
COLLELONGO;C862
COLLEPARDO;C864
COLLEPASSO;C865
COLLEPIETRO;C866
COLLERETTO CASTELNUOVO;C867
COLLERETTO GIACOSA;C868
COLLESALVETTI;C869
COLLESANO;C871
COLLETORTO;C875
COLLEVECCHIO;C876
COLLI A VOLTURNO;C878
COLLI DEL TRONTO;C877
COLLI SUL VELINO;C880
COLLIANO;C879
COLLINAS;C882
COLLIO;C883
COLLOBIANO;C884
COLLOREDO DI MONTE ALBANO;C885
COLMURANO;C886
COLOBRARO;C888
COLOGNA VENETA;C890
COLOGNE;C893
COLOGNO AL SERIO;C894
COLOGNO MONZESE;C895
COLOGNOLA AI COLLI;C897
COLONNA;C900
COLONNELLA;C901
COLONNO;C902
COLORINA;C903
COLORNO;C904
COLOSIMI;C905
COLTURANO;C908
COLZATE;C910
COMABBIO;C911
COMACCHIO;C912
COMANO;C914
COMAZZO;C917
COMEGLIANS;C918
COMELICO SUPERIORE;C920
COMERIO;C922
COMEZZANO CIZZAGO;C925
COMIGNAGO;C926
COMISO;C927
COMITINI;C928
COMIZIANO;C929
COMMESSAGGIO;C930
COMMEZZADURA;C931
COMO;C933
COMPIANO;C934
COMUN NUOVO;C937
COMUNANZA;C935
CONA;C938
CONCA CASALE;C941
CONCA DEI MARINI;C940
CONCA DELLA CAMPANIA;C939
CONCAMARISE;C943
CONCEI;C944
CONCERVIANO;C946
CONCO;C949
CONCORDIA SAGITTARIA;C950
CONCORDIA SULLA SECCHIA;C951
CONCOREZZO;C952
CONDINO;C953
CONDOFURI;C954
CONDOVE;C955
CONDRO';C956
CONEGLIANO;C957
CONFIENZA;C958
CONFIGNI;C959
CONFLENTI;C960
CONIOLO;C962
CONSELICE;C963
CONSELVE;C964
CONSIGLIO DI RUMO;C965
CONTARINA;C967
CONTESSA ENTELLINA;C968
CONTIGLIANO;C969
CONTRADA;C971
CONTROGUERRA;C972
CONTRONE;C973
CONTURSI TERME;C974
CONVERSANO;C975
CONZA DELLA CAMPANIA;C976
CONZANO;C977
COPERTINO;C978
COPIANO;C979
COPPARO;C980
CORANA;C982
CORATO;C983
CORBARA;C984
CORBETTA;C986
CORBOLA;C987
CORCHIANO;C988
CORCIANO;C990
CORDENONS;C991
CORDIGNANO;C992
CORDOVADO;C993
COREDO;C994
COREGLIA ANTELMINELLI;C996
COREGLIA LIGURE;C995
CORENO AUSONIO;C998
CORFINIO;C999
CORI;D003
CORIANO;D004
CORIGLIANO CALABRO;D005
CORIGLIANO D'OTRANTO;D006
CORINALDO;D007
CORIO;D008
CORLEONE;D009
CORLETO MONFORTE;D011
CORLETO PERTICARA;D010
CORMANO;D013
CORMONS;D014
CORNA IMAGNA;D015
CORNALBA;D016
CORNALE;D017
CORNAREDO;D018
CORNATE D'ADDA;D019
CORNEDO ALL'ISARCO;B799
CORNEDO VICENTINO;D020
CORNEGLIANO LAUDENSE;D021
CORNELIANO D'ALBA;D022
CORNIGLIO;D026
CORNO DI ROSAZZO;D027
CORNO GIOVINE;D028
CORNOVECCHIO;D029
CORNUDA;D030
CORREGGIO;D037
CORREZZANA;D038
CORREZZOLA;D040
CORRIDO;D041
CORRIDONIA;D042
CORROPOLI;D043
CORSANO;D044
CORSICO;D045
CORSIONE;D046
CORTACCIA SULLA STRADA DEL VIN;D048
CORTADONE;D050
CORTALE;D049
CORTANZE;D051
CORTAZZONE;D052
CORTE BRUGNATELLA;D054
CORTE DE'CORTESI CON CIGNONE;D056
CORTE DE'FRATI;D057
CORTE FRANCA;D058
CORTE PALASIO;D068
CORTEMAGGIORE;D061
CORTEMILIA;D062
CORTENO GOLGI;D064
CORTENOVA;D065
CORTENUOVA;D066
CORTEOLONA;D067
CORTIGLIONE;D072
CORTINA D'AMPEZZO;A266
CORTINA SULLA STRADA;D075
CORTINO;D076
CORTONA;D077
CORVARA;D078
CORVARA IN BADIA;D079
CORVINO SAN QUIRICO;D081
CORZANO;D082
COSEANO;D085
COSENZA;D086
COSIO DI ARROSCIA;D087
COSIO VALTELLINO;D088
COSOLETO;D089
COSSANO BELBO;D093
COSSANO CANAVESE;D092
COSSATO;D094
COSSERIA;D095
COSSIGNANO;D096
COSSOGNO;D099
COSSOINE;D100
COSSOMBRATO;D101
COSTA DE'NOBILI;D109
COSTA DI MEZZATE;D110
COSTA DI ROVIGO;D105
COSTA DI SERINA;D111
COSTA MASNAGA;D112
COSTA VALLE IMAGNA;D103
COSTA VESCOVATO;D102
COSTA VOLPINO;D117
COSTABISSARA;D107
COSTACCIARO;D108
COSTANZANA;D113
COSTARAINERA;D114
COSTERMANO;D118
COSTIGLIOLE D'ASTI;D119
COSTIGLIOLE SALUZZO;D120
COTIGNOLA;D121
COTRONEI;D123
COTTANELLO;D124
COURMAYEUR;D012
COVO;D126
COZZO;D127
CRACO;D128
CRANDOLA VALSASSINA;D131
CRAVAGLIANA;D132
CRAVANZANA;D133
CRAVEGGIA;D134
CREAZZO;D136
CRECCHIO;D137
CREDARO;D139
CREDERA RUBBIANO;D141
CREMA;D142
CREMELLA;D143
CREMENAGA;D144
CREMENO;D145
CREMIA;D147
CREMOLINO;D149
CREMONA;D150
CREMOSANO;D151
CRESCENTINO;D154
CRESPADORO;D156
CRESPANO DEL GRAPPA;D157
CRESPELLANO;D158
CRESPIATICA;D159
CRESPINA;D160
CRESPINO;D161
CRESSA;D162
CREVACUORE;D165
CREVALCORE;D166
CREVOLADOSSOLA;D168
CRISPANO;D170
CRISPIANO;D171
CRISSOLO;D172
CROCEFIESCHI;D175
CROCETTA DEL MONTELLO;C670
CRODO;D177
CROGNALETO;D179
CROPALATI;D180
CROPANI;D181
CROSA;D182
CROSIA;D184
CROSIO DELLA VALLE;D185
CROTONE;D122
CROTTA D'ADDA;D186
CROVA;D187
CROVIANA;D188
CRUCOLI;D189
CUASSO AL MONTE;D192
CUCCARO MONFERRATO;D194
CUCCARO VETERE;D195
CUCEGLIO;D197
CUGGIAGO;D196
CUGGIONO;D198
CUGLIATE FABIASCO;D199
CUGLIERI;D200
CUGNOLI;D201
CUMIANA;D202
CUMIGNANO SUL NAVIGLIO;D203
CUNARDO;D204
CUNEO;D205
CUNEVO;D206
CUNICO;D207
CUORGNE';D208
CUPELLO;D209
CUPRA MARITTIMA;D210
CUPRAMONTANA;D211
CURA CARPIGNANO;B824
CUREGGIO;D216
CURIGLIA CON MONTEVIASCO;D217
CURINGA;D218
CURINO;D219
CURNO;D221
CURON VENOSTA;D222
CURSI;D223
CURSOLO ORASSO;D225
CURTAROLO;D226
CURTATONE;D227
CURTI;D228
CUSAGO;D229
CUSANO MILANINO;D231
CUSANO MUTRI;D230
CUSINO;D232
CUSIO;D233
CUSTONACI;D234
CUTIGLIANO;D235
CUTRO;D236
CUTROFIANO;D237
CUVEGLIO;D238
CUVIO;D239
